from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748092_164_190619065679393,ATB:ServiceJourney:42_190619065754234_83_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748251_7080_190619065679393,ATB:ServiceJourney:42_190619065754348_7079_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748253_7084_190619065679393,ATB:ServiceJourney:42_190619065754350_7083_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748254_7086_190619065679393,ATB:ServiceJourney:42_190619065754351_7085_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747033_110_190619065679393,ATB:ServiceJourney:74_190619065755288_16_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747124_6036_190619065679393,ATB:ServiceJourney:74_190619065755304_6006_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747013_70_190619065679393,ATB:ServiceJourney:73_190619065755245_14_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746997_38_190619065679393,ATB:ServiceJourney:74_190619065755283_6_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747057_158_190619065679393,ATB:ServiceJourney:73_190619065755253_30_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748096_172_190619065679393,ATB:ServiceJourney:42_190619065754236_87_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747057_158_190619065679393,ATB:ServiceJourney:74_190619065755293_26_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748106_192_190619065679393,ATB:ServiceJourney:42_190619065754241_97_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747172_6132_190619065679393,ATB:ServiceJourney:74_190619065755312_6022_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748032_44_190619065679393,ATB:ServiceJourney:42_190619065754204_23_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748074_128_190619065679393,ATB:ServiceJourney:42_190619065754225_65_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748058_96_190619065679393,ATB:ServiceJourney:42_190619065754217_49_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748052_84_190619065679393,ATB:ServiceJourney:42_190619065754214_43_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748076_132_190619065679393,ATB:ServiceJourney:42_190619065754226_67_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748078_136_190619065679393,ATB:ServiceJourney:42_190619065754227_69_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748034_48_190619065679393,ATB:ServiceJourney:42_190619065754205_25_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748094_168_190619065679393,ATB:ServiceJourney:42_190619065754235_85_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748082_144_190619065679393,ATB:ServiceJourney:42_190619065754229_73_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747005_54_190619065679393,ATB:ServiceJourney:73_190619065755244_12_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747045_134_190619065679393,ATB:ServiceJourney:74_190619065755291_22_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748212_7002_190619065679393,ATB:ServiceJourney:42_190619065754309_7001_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748042_64_190619065679393,ATB:ServiceJourney:42_190619065754209_33_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748125_6012_190619065679393,ATB:ServiceJourney:42_190619065754259_6011_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748066_112_190619065679393,ATB:ServiceJourney:42_190619065754221_57_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748108_196_190619065679393,ATB:ServiceJourney:42_190619065754243_101_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748219_7016_190619065679393,ATB:ServiceJourney:42_190619065754316_7015_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748222_7022_190619065679393,ATB:ServiceJourney:42_190619065754319_7021_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748231_7040_190619065679393,ATB:ServiceJourney:42_190619065754328_7039_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747129_6046_190619065679393,ATB:ServiceJourney:72_190619065755105_6018_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748233_7044_190619065679393,ATB:ServiceJourney:42_190619065754330_7043_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747159_6106_190619065679393,ATB:ServiceJourney:72_190619065755115_6038_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748234_7046_190619065679393,ATB:ServiceJourney:42_190619065754331_7045_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747144_6076_190619065679393,ATB:ServiceJourney:72_190619065755110_6028_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747092_228_190619065679393,ATB:ServiceJourney:72_190619065755092_62_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748068_116_190619065679393,ATB:ServiceJourney:42_190619065754222_59_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748086_152_190619065679393,ATB:ServiceJourney:42_190619065754231_77_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748098_176_190619065679393,ATB:ServiceJourney:42_190619065754237_89_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748088_156_190619065679393,ATB:ServiceJourney:42_190619065754232_79_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748062_104_190619065679393,ATB:ServiceJourney:42_190619065754219_53_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747031_106_190619065679393,ATB:ServiceJourney:73_190619065755248_20_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748244_7066_190619065679393,ATB:ServiceJourney:42_190619065754341_7065_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748126_6014_190619065679393,ATB:ServiceJourney:42_190619065754260_6013_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748024_28_190619065679393,ATB:ServiceJourney:42_190619065754200_15_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748224_7026_190619065679393,ATB:ServiceJourney:42_190619065754321_7025_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748210_6182_190619065679393,ATB:ServiceJourney:42_190619065754308_6109_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748241_7060_190619065679393,ATB:ServiceJourney:42_190619065754338_7059_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748026_32_190619065679393,ATB:ServiceJourney:42_190619065754201_17_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747160_6108_190619065679393,ATB:ServiceJourney:74_190619065755310_6018_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748044_68_190619065679393,ATB:ServiceJourney:42_190619065754210_35_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747011_66_190619065679393,ATB:ServiceJourney:74_190619065755285_10_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748040_60_190619065679393,ATB:ServiceJourney:42_190619065754208_31_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746985_14_190619065679393,ATB:ServiceJourney:74_190619065755281_2_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748028_36_190619065679393,ATB:ServiceJourney:42_190619065754202_19_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065746985_14_190619065679393,ATB:ServiceJourney:73_190619065755241_6_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748050_80_190619065679393,ATB:ServiceJourney:42_190619065754213_41_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748064_108_190619065679393,ATB:ServiceJourney:42_190619065754220_55_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748020_20_190619065679393,ATB:ServiceJourney:42_190619065754198_11_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748080_140_190619065679393,ATB:ServiceJourney:42_190619065754228_71_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748060_100_190619065679393,ATB:ServiceJourney:42_190619065754218_51_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748084_148_190619065679393,ATB:ServiceJourney:42_190619065754230_75_190619065679393,3,
NSR:Quay:74803,NSR:Quay:74803,,,ATB:ServiceJourney:310_190214093692497_62_190214093487476,ATB:ServiceJourney:460_190617065383913_14_190214093487476,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747102_248_190619065679393,ATB:ServiceJourney:74_190619065755301_42_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748228_7034_190619065679393,ATB:ServiceJourney:42_190619065754325_7033_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747102_248_190619065679393,ATB:ServiceJourney:72_190619065755095_68_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748245_7068_190619065679393,ATB:ServiceJourney:42_190619065754342_7067_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747126_6040_190619065679393,ATB:ServiceJourney:72_190619065755104_6016_190619065679393,3,
NSR:Quay:71982,NSR:Quay:71982,,,ATB:ServiceJourney:1_190619065747099_242_190619065679393,ATB:ServiceJourney:74_190619065755300_40_190619065679393,3,
NSR:Quay:73032,NSR:Quay:73032,,,ATB:ServiceJourney:3_190619065748246_7070_190619065679393,ATB:ServiceJourney:42_190619065754343_7069_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065747099_242_190619065679393,ATB:ServiceJourney:72_190619065755094_66_190619065679393,3,
NSR:Quay:74325,NSR:Quay:74325,,,ATB:ServiceJourney:1_190619065746989_22_190619065679393,ATB:ServiceJourney:72_190619065755059_10_190619065679393,3,
