service_id,date,exception_type
ATB:Timetable:1600018-2019-08-03,20190808,1
ATB:Timetable:1600075-2019-08-10,20190906,1
ATB:Timetable:1600075-2019-08-10,20190913,1
ATB:Timetable:1600075-2019-08-10,20190920,1
ATB:Timetable:1600075-2019-08-10,20190927,1
ATB:Timetable:1600032-2019-08-10,20190812,2
ATB:Timetable:1600032-2019-08-10,20190814,2
ATB:Timetable:1600032-2019-08-10,20191007,2
ATB:Timetable:1600032-2019-08-10,20191009,2
ATB:Timetable:1600032-2019-08-10,20191010,2
ATB:Timetable:1600032-2019-08-10,20191011,2
ATB:Timetable:1600032-2019-08-10,20191129,2
ATB:Timetable:1600028-2019-08-03,20190806,1
ATB:Timetable:1600028-2019-08-03,20190807,1
ATB:Timetable:1600082-2019-08-10,20190811,2
ATB:Timetable:1600082-2019-08-10,20190818,2
ATB:Timetable:1600082-2019-08-10,20190825,2
ATB:Timetable:1600082-2019-08-10,20190901,2
ATB:Timetable:1600082-2019-08-10,20190908,2
ATB:Timetable:1600082-2019-08-10,20190915,2
ATB:Timetable:1600082-2019-08-10,20190922,2
ATB:Timetable:1600082-2019-08-10,20190929,2
ATB:Timetable:1600042-2019-08-10,20190812,1
ATB:Timetable:1600042-2019-08-10,20190813,1
ATB:Timetable:1600042-2019-08-10,20190814,1
ATB:Timetable:1600042-2019-08-10,20191007,1
ATB:Timetable:1600042-2019-08-10,20191008,1
ATB:Timetable:1600042-2019-08-10,20191009,1
ATB:Timetable:1600042-2019-08-10,20191010,1
ATB:Timetable:1600042-2019-08-10,20191011,1
ATB:Timetable:1600042-2019-08-10,20191129,1
ATB:Timetable:1600015-2019-08-03,20190805,1
ATB:Timetable:1600015-2019-08-03,20190807,1
ATB:Timetable:1600015-2019-08-03,20190808,1
ATB:Timetable:1600015-2019-08-03,20190809,1
ATB:Timetable:1600005-2019-08-03,20190807,1
ATB:Timetable:1600062-2019-08-10,20190815,1
ATB:Timetable:1600062-2019-08-10,20190822,1
ATB:Timetable:1600062-2019-08-10,20190829,1
ATB:Timetable:1600062-2019-08-10,20190905,1
ATB:Timetable:1600062-2019-08-10,20190912,1
ATB:Timetable:1600015-2019-08-10,20191010,2
ATB:Timetable:1600015-2019-08-10,20191011,2
ATB:Timetable:1600048-2019-08-10,20190812,2
ATB:Timetable:1600048-2019-08-10,20190813,2
ATB:Timetable:1600048-2019-08-10,20190814,2
ATB:Timetable:1600048-2019-08-10,20190815,2
ATB:Timetable:1600048-2019-08-10,20190816,2
ATB:Timetable:1600048-2019-08-10,20191007,2
ATB:Timetable:1600048-2019-08-10,20191008,2
ATB:Timetable:1600048-2019-08-10,20191009,2
ATB:Timetable:1600048-2019-08-10,20191010,2
ATB:Timetable:1600048-2019-08-10,20191011,2
ATB:Timetable:1600048-2019-08-10,20191129,2
ATB:Timetable:1600005-2019-08-10,20191007,2
ATB:Timetable:1600005-2019-08-10,20191008,2
ATB:Timetable:1600005-2019-08-10,20191009,2
ATB:Timetable:1600005-2019-08-10,20191010,2
ATB:Timetable:1600005-2019-08-10,20191011,2
ATB:Timetable:1600025-2019-08-03,20190805,1
